#Item	Label	Description	Site on enwiki
Q7060573	Norton (South Yorkshire) railway station		Norton (South Yorkshire) railway station
Q7102148	Orgreave Colliery platform		Orgreave Colliery platform
Q7137713	Park Drain railway station		Park Drain railway station
Q7138475	Parkgate and Aldwarke railway station		Parkgate and Aldwarke railway station
Q7138476	Parkgate and Rawmarsh railway station		Parkgate and Rawmarsh railway station
Q7190768	Pickburn and Brodsworth railway station		Pickburn and Brodsworth railway station
Q7355379	Rockingham (South Yorkshire) railway station		Rockingham (South Yorkshire) railway station
Q7369846	Rossington railway station		Rossington railway station
Q7370435	Rotherham Masborough railway station	main railway station for Rotherham, South Yorkshire, England from the 1840s until 1987, when most trains were rerouted via Rotherham Central	Rotherham Masborough railway station
Q7370440	Rotherham Road railway station		Rotherham Road railway station
Q7370443	Rotherham Westgate railway station		Rotherham Westgate railway station
Q7439287	Scrooby railway station		Scrooby railway station
Q7516885	Silverwood Colliery platform		Silverwood Colliery platform
Q7577197	Spike Island		Spike Island (Doncaster)
Q7581344	Sprotborough (H&B) railway station		Sprotborough (H&B) railway station
Q7581345	Sprotborough (SYR) railway station		Sprotborough (SYR) railway station
Q7597045	Stainforth railway station		Stainforth railway station
Q7653125	Swallownest railway station		Swallownest railway station
Q7658780	Swinton Central railway station		Swinton Central railway station
Q7658791	Swinton Town railway station		Swinton Town railway station
Q7660504	Sykehouse railway station		Sykehouse railway station
Q7796375	Thorne (Old) railway station		Thorne (Old) railway station
Q7796381	Thorne South railway station		Thorne South railway station
Q7796383	Thorne Waterside railway station		Thorne Waterside railway station
Q7796675	Thorpe-in-Balne railway station		Thorpe-in-Balne railway station
Q7798617	Thrybergh Tins railway station		Thrybergh Tins railway station
Q7800689	Tickhill and Wadworth railway station		Tickhill and Wadworth railway station
Q7808474	Tinsley railway station		Tinsley railway station
Q7837741	Treeton railway station		Treeton railway station
Q7961846	Waleswood railway station		Waleswood railway station
Q7969650	Warmsworth railway station		Warmsworth railway station
Q7974640	Wath (Hull and Barnsley) railway station		Wath (Hull and Barnsley) railway station
Q7974644	Wath Central railway station		Wath Central railway station
Q7974648	Wath North railway station		Wath North railway station
Q7986674	West Tinsley railway station		West Tinsley railway station
Q8023891	Wincobank railway station		Wincobank railway station
Q8030800	Wombwell Central railway station		Wombwell Central railway station
Q8032755	Woodhouse Mill railway station		Woodhouse Mill railway station
Q15206626	C F Booth		C F Booth
Q15223809	Hexthorpe railway platform		Hexthorpe railway platform
Q15252582	Meadow Hall and Wincobank railway station		Meadow Hall and Wincobank railway station
Q15255986	Moorhouse and South Elmsall Halt		Moorhouse and South Elmsall Halt railway station
