#Item	Label	Description	Site on enwiki
Q6408091	Kilnhurst West railway station		Kilnhurst West railway station
Q6415525	Kirk Smeaton railway station		Kirk Smeaton railway station
Q6744763	Maltby railway station		Maltby railway station
Q6792193	Maud's Bridge railway station		Maud's Bridge railway station
Q6823667	Methley Junction railway station		Methley Junction railway station
Q6823669	Methley South railway station		Methley South railway station
Q6825711	Mexborough (Ferry Boat) Halt railway station		Mexborough (Ferry Boat) Halt railway station
Q6825713	Mexborough Junction railway station		Mexborough Junction railway station
Q6900614	Monk Bretton railway station		Monk Bretton railway station
Q7060573	Norton (South Yorkshire) railway station		Norton (South Yorkshire) railway station
Q7063758	Notton and Royston railway station		Notton and Royston railway station
Q7073833	Oakenshaw railway station		Oakenshaw railway station
Q7138475	Parkgate and Aldwarke railway station		Parkgate and Aldwarke railway station
Q7138476	Parkgate and Rawmarsh railway station		Parkgate and Rawmarsh railway station
Q7190768	Pickburn and Brodsworth railway station		Pickburn and Brodsworth railway station
Q7355379	Rockingham (South Yorkshire) railway station		Rockingham (South Yorkshire) railway station
Q7369846	Rossington railway station		Rossington railway station
Q7370440	Rotherham Road railway station		Rotherham Road railway station
Q7375268	Royston and Notton railway station		Royston and Notton railway station
Q7385061	Ryhill Halt railway station		Ryhill Halt railway station
Q7385062	Ryhill railway station		Ryhill railway station
Q7415952	Sandal and Walton railway station		Sandal and Walton railway station
Q7516885	Silverwood Colliery platform		Silverwood Colliery platform
Q7577197	Spike Island		Spike Island (Doncaster)
Q7581344	Sprotborough (H&B) railway station		Sprotborough (H&B) railway station
Q7581345	Sprotborough (SYR) railway station		Sprotborough (SYR) railway station
Q7597010	Staincross and Mapplewell railway station		Staincross and Mapplewell railway station
Q7597045	Stainforth railway station		Stainforth railway station
Q7597100	Stairfoot railway station		Stairfoot railway station
Q7658780	Swinton Central railway station		Swinton Central railway station
Q7658791	Swinton Town railway station		Swinton Town railway station
Q7660504	Sykehouse railway station		Sykehouse railway station
Q7796375	Thorne (Old) railway station		Thorne (Old) railway station
Q7796381	Thorne South railway station		Thorne South railway station
Q7796383	Thorne Waterside railway station		Thorne Waterside railway station
Q7796675	Thorpe-in-Balne railway station		Thorpe-in-Balne railway station
Q7798617	Thrybergh Tins railway station		Thrybergh Tins railway station
Q7800689	Tickhill and Wadworth railway station		Tickhill and Wadworth railway station
Q7969650	Warmsworth railway station		Warmsworth railway station
Q7974640	Wath (Hull and Barnsley) railway station		Wath (Hull and Barnsley) railway station
Q7974644	Wath Central railway station		Wath Central railway station
Q7974648	Wath North railway station		Wath North railway station
Q7983049	Wentworth railway station		Wentworth railway station
Q8030800	Wombwell Central railway station		Wombwell Central railway station
Q15223809	Hexthorpe railway platform		Hexthorpe railway platform
Q15255986	Moorhouse and South Elmsall Halt		Moorhouse and South Elmsall Halt railway station
